"run_index","weibull_lambda","senescence_dose_response__max_effect","senescence_dose_response__half_sat","juv_decline_dose_response__max_effect","juv_decline_age_half_sat","shade_dose_response__max_effect","shade_dose_response__half_sat","R_max","K_half","age_first_flower_mean","N_alive_mean","N_alive_cv","N_alive_trend","N_IUCN_mean","adult_frac_mean","adult_frac_final","juv_age_mean","adult_age_mean","recruit_rate","births_mean","extinction"
86,45,0,15,0.3,8,0.7875,2375,100,200,10,1927.16,0.0105436227076276,0.749579831932774,1490.06,0.773236330967163,0.772489539748954,4.07586206896552,56.3324306025728,0.0308273890319926,59.42,0
87,45,0,15,0.3,8,0.7875,2375,1525,200,10,9983.84,0.00433698759816036,-1.05565426170467,6850.66,0.686189537603506,0.688139674894642,3.24066924066924,52.9549431321085,0.0614540596455698,613.6,0
88,45,0,15,0.8175,8,0.7875,2375,1525,200,10,6001.8,0.00569120902980502,-0.766482593037206,3218.94,0.536340159622009,0.541708043694141,2.32033224990971,52.9147571035747,0.131042221840726,786.54,0
89,20,0.6,15,0.4725,2.75,0.3,6125,1525,1150,4.75,7063.9,0.0088112157943999,-1.68129651860745,3636.34,0.514811309749998,0.523440860215054,1.68652226233454,8.18871542043276,0.146175348452492,1032.6,0
90,20,0.6,15,0.99,2.75,0.3,6125,1525,1150,4.75,5215.46,0.0131988806199683,3.14895558223289,2535.6,0.486182354169218,0.504800307219662,1.5696006203955,8.16546215290985,0.183024042178972,954.68,0
91,20,0.6,48.75,0.99,2.75,0.3,6125,1525,1150,4.75,6963.68,0.0093276927820353,1.35126050420168,4441.78,0.637850994162757,0.640992725716731,1.24592769169646,14.5645304850912,0.153277414447302,1067.42,0
92,20,0.6,48.75,0.99,8,0.3,6125,1525,1150,4.75,5725.5,0.0119982176155621,2.22660264105643,3348.24,0.584798628303297,0.589453532892447,1.0881729546418,14.2022438736345,0.177796073667358,1018.08,0
93,20,0.15,48.75,0.99,8,0.3,6125,1525,1150,4.75,5919.38,0.0111948009788741,2.82319327731093,3591.32,0.606731929840628,0.601917255297679,1.07604562737643,17.0550433081866,0.172766028248233,1022.74,0
94,20,0.15,48.75,0.99,8,0.7875,6125,1525,1150,4.75,5094.1,0.00711427588006245,0.546506602641058,3150.04,0.618388941263426,0.614811912225705,1.11698880976602,17.0267686424474,0.160154321411525,815.9,0
95,20,0.15,48.75,0.99,8,0.7875,6125,100,1150,4.75,195.66,0.102096076841381,-1.30741896758703,147.58,0.754250161425351,0.767441860465116,1.975,17.6742424242424,0.0587062086485594,11.52,0
96,20,0.15,48.75,0.99,8,0.7875,6125,100,4000,4.75,2.06,0.372290306004703,-0.0407683073229292,1.86,0.893333333333333,NA,NA,NA,0.0216666666666667,0.06,1
97,20,0.15,48.75,0.99,8,0.7875,6125,100,4000,10,6.18,0.745247731580571,-0.302857142857143,5.06,0.710165112665113,NA,NA,NA,0.0163333333333333,0.1,1
98,20,0.15,48.75,0.99,8,0.7875,500,100,4000,10,3.62,0.664789699394364,-0.156686674669868,3.04,0.8885,NA,NA,NA,0.005,0.04,1
99,95,0.15,48.75,0.99,8,0.7875,500,100,4000,10,25.5,0.114332390095006,-0.159183673469388,20.34,0.798405003427372,0.894736842105263,4.5,29.8235294117647,0.0172957875457875,0.46,0
100,95,0,15,0.4725,6.25,0.4625,8000,1525,3050,4.75,21215.54,0.0115938435780948,16.342424969988,19094.08,0.899992615018349,0.902043464158287,1.17786187322611,79.8993681615041,0.0416459380402852,883.44,0
101,95,0,48.75,0.4725,6.25,0.4625,8000,1525,3050,4.75,21215.54,0.0115938435780948,16.342424969988,19094.08,0.899992615018349,0.902043464158287,1.17786187322611,79.8993681615041,0.0416459380402852,883.44,0
102,95,0,48.75,0.4725,6.25,0.4625,8000,1525,3050,10,13728.4,0.0045670180143341,3.36489795918367,10631,0.774379754700608,0.772923875432526,2.5447619047619,92.1958589815333,0.0633664094139895,869.94,0
103,95,0,48.75,0.4725,6.25,0.95,8000,1525,3050,10,10703.32,0.00453552129065431,1.69853541416565,8492.34,0.793441609251638,0.796275708727071,2.62528422010005,95.0943571844095,0.0540020458978108,578.02,0
104,20,0,48.75,0.4725,6.25,0.95,8000,1525,3050,10,5484.4,0.0107678406844267,-1.89147659063627,2752.1,0.501825762953898,0.506498398945187,3.22862595419847,28.5511342506508,0.0995608917020126,546.1,0
105,20,0,48.75,0.4725,1,0.95,8000,1525,3050,10,10670.86,0.00499836221637491,-0.691524609843912,6349.52,0.595029194275137,0.596017202692595,4.09002545707012,28.8365490196078,0.0562342110315584,600.06,0
106,20,0,48.75,0.4725,1,0.95,8000,100,3050,10,27.7,0.627126112889239,-1.08845138055222,21.1,0.763560616857645,0.888888888888889,4,31.875,0.0238889906305198,0.66,0
107,20,0,48.75,0.4725,1,0.95,2375,100,3050,10,32.84,0.247333450667652,-0.51438175270108,25.18,0.765497231320173,0.764705882352941,6.75,35,0.0227664841722977,0.76,0
108,20,0,48.75,0.4725,1,0.95,2375,100,200,10,1175.18,0.0141102870099813,-0.159375750300122,702.5,0.597796914274476,0.594017094017094,4.08842105263158,28.5151079136691,0.05140751412205,60.44,0
109,20,0.45,48.75,0.4725,1,0.95,2375,100,200,10,972.98,0.033223521672121,-1.67572629051621,497.92,0.511907427932119,0.483528161530287,4.30864197530864,19.2989010989011,0.0618102632943617,60.14,0
110,20,0.45,48.75,0.99,1,0.95,2375,100,200,10,927.64,0.0265977944393967,-0.572965186074431,480.62,0.518095523123256,0.511450381679389,4.4375,18.8038379530917,0.0621545039245649,57.64,0
111,95,0,15,0.3,2.75,0.3,8000,2000,200,8.25,63222.84,0.0166117006351811,71.7208163265307,56330.58,0.890945596391648,0.895284081267451,3.15247495580436,79.1804428362195,0.0230214911698275,1455,0
112,95,0,15,0.3,2.75,0.7875,8000,2000,200,8.25,35624.38,0.00715116042561809,16.9499639855943,31987.06,0.897890874190281,0.899638888888889,3.11763077774702,83.8940006792849,0.0206374652987771,735.16,0
113,95,0,15,0.3,2.75,0.7875,2375,2000,200,8.25,27670.02,0.00870342891419793,16.3554861944778,24849.28,0.898054256136533,0.900449743003998,3.30907135173897,84.0001189202045,0.0200782273671275,555.54,0
114,95,0,15,0.3,2.75,0.7875,2375,575,200,8.25,11799.26,0.0031876840956012,1.92417767106844,10668.72,0.904185444686698,0.908891142663962,3.26716141001855,88.9583410823879,0.0169631656355681,200.16,0
115,95,0.45,15,0.3,2.75,0.7875,2375,575,200,8.25,4013.64,0.0142159506053753,0.117358943577425,1575.02,0.392412039763596,0.399116347569956,3.54983660130719,11.4956949569496,0.0870606683351393,349.38,0
116,20,0.45,15,0.3,2.75,0.7875,2375,575,200,8.25,3326.46,0.0192799118452437,1.45214885954382,1061.98,0.31925524101541,0.318645083932854,3.29300483941927,11.1533396048918,0.109206165278467,363.24,0
117,20,0.45,15,0.8175,2.75,0.7875,2375,575,200,8.25,2947.32,0.0200099619966253,-2.74909963985594,902.94,0.306377345121966,0.297582567245489,3.14735821619001,11.0102974828375,0.125048399357878,368.54,0
118,20,0.45,48.75,0.8175,2.75,0.7875,2375,575,200,8.25,3567.68,0.00871913484157145,-0.995630252100842,1942.04,0.544383114494729,0.551772650534609,2.98367859384809,18.1264660887302,0.0942251722198095,336.22,0
119,20,0.45,48.75,0.8175,2.75,0.7875,2375,575,200,3,3460.68,0.0143091830148411,-2.74170468187275,2785.02,0.804788055655467,0.81518540317834,0.993630573248408,13.9646209386282,0.0891781011256537,308.66,0
120,20,0.45,48.75,0.8175,8,0.7875,2375,575,200,3,3321.16,0.00772302756420908,0.210516206482588,2650.44,0.798067107822873,0.803130644190247,0.894495412844037,13.5438530734633,0.0952233932389589,316.28,0
121,20,0.45,48.75,0.8175,8,0.7875,2375,575,3050,3,1620.22,0.0167554937318529,1.104393757503,1313.88,0.810981247485971,0.813701923076923,1.07096774193548,13.6927621861152,0.0788089325968796,127.72,0
122,45,0,26.25,0.99,6.25,0.95,2375,1525,1150,10,4610.72,0.0103527314943042,0.751884753901572,2790.22,0.605207611488862,0.60276008492569,2.39337252805986,53.6347305389222,0.114464134171896,527.78,0
123,45,0,60,0.99,6.25,0.95,2375,1525,1150,10,4610.72,0.0103527314943042,0.751884753901572,2790.22,0.605207611488862,0.60276008492569,2.39337252805986,53.6347305389222,0.114464134171896,527.78,0
124,45,0,60,0.99,6.25,0.95,2375,100,1150,10,882.1,0.0379410192800095,-2.1747418967587,691.96,0.784344728470551,0.778985507246377,3.77049180327869,69.6821705426357,0.0330562253756847,29.16,0
125,45,0,60,0.99,6.25,0.95,2375,100,4000,10,386.18,0.118818313169732,-3.12926770708283,334.62,0.866832549463679,0.865814696485623,4.42857142857143,98.8154981549816,0.0164751300125428,6.4,0
126,45,0.45,60,0.99,6.25,0.95,2375,100,4000,10,7.8,0.825599096672868,-0.427082833133253,6.52,0.801192175987068,NA,NA,NA,0.0219352869352869,0.16,1
127,45,0.45,60,0.99,1,0.95,2375,100,4000,10,1.92,0.555201134112429,-0.064921968787515,1.62,0.925,1,NA,53,0,0,0
128,45,0.45,60,0.99,1,0.95,8000,100,4000,10,4.14,0.53012223693932,-0.129507803121249,2.62,0.636857142857143,0.333333333333333,3.5,29,0.0327698412698413,0.16,0
